step,service_step,phase,kind,channel,x_m,y_m,before_status,after_status,before_radius_m,after_radius_m,movement_m,move_s,switch_s,operation_s,step_s,total_s,result,bearing_deg,reason,reason_explanation,unknown,found,absent,cleared
1,,发现未完,measure,1,0.0,0.0,unknown,unknown,,,0.0,0.0,0,5.0,5.0,5.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,20,0,0,0
2,,发现未完,measure,2,0.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,11.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,20,0,0,0
3,,发现未完,measure,3,0.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,17.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,20,0,0,0
4,,发现未完,measure,4,0.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,23.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,20,0,0,0
5,,发现未完,measure,5,0.0,0.0,unknown,found,,750.2308010020303,0.0,0.0,1,5.0,6.0,29.0,direction,356.41,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,19,1,0,0
6,,发现未完,measure,6,0.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,35.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,19,1,0,0
7,,发现未完,measure,7,0.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,41.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,19,1,0,0
8,,发现未完,measure,8,0.0,0.0,unknown,found,,750.2308010020304,0.0,0.0,1,5.0,6.0,47.0,direction,357.39,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,18,2,0,0
9,,发现未完,measure,9,0.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,53.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,18,2,0,0
10,,发现未完,measure,10,0.0,0.0,unknown,found,,750.2308009524534,0.0,0.0,1,5.0,6.0,59.0,direction,58.87,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,17,3,0,0
11,,发现未完,measure,11,0.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,65.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,17,3,0,0
12,,发现未完,measure,12,0.0,0.0,unknown,found,,750.2308010020303,0.0,0.0,1,5.0,6.0,71.0,direction,176.77,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,16,4,0,0
13,,发现未完,measure,13,0.0,0.0,unknown,found,,750.2296609964624,0.0,0.0,1,5.0,6.0,77.0,direction,58.25,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,15,5,0,0
14,,发现未完,measure,14,0.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,83.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,15,5,0,0
15,,发现未完,measure,15,0.0,0.0,unknown,found,,750.2308009524535,0.0,0.0,1,5.0,6.0,89.0,direction,3.24,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,14,6,0,0
16,,发现未完,measure,16,0.0,0.0,unknown,found,,750.183835033509,0.0,0.0,1,5.0,6.0,95.0,direction,315.72,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,13,7,0,0
17,,发现未完,measure,17,0.0,0.0,unknown,found,,750.1907780019376,0.0,0.0,1,5.0,6.0,101.0,direction,180.52,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,12,8,0,0
18,,发现未完,measure,18,0.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,107.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,12,8,0,0
19,,发现未完,measure,19,0.0,0.0,unknown,found,,750.2308009524535,0.0,0.0,1,5.0,6.0,113.0,direction,20.18,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,11,9,0,0
20,,发现未完,measure,20,0.0,0.0,unknown,found,,750.2308010020304,0.0,0.0,1,5.0,6.0,119.0,direction,177.67,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,10,10,0,0
21,,发现未完,measure,1,-1200.0,1.4695761589768238e-13,unknown,unknown,,,1200.0,240.0,1,5.0,246.0,365.0,no_signal,,sweep_next_discovery_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_next_discovery_node,10,10,0,0
